Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
35074,Strata 1: High probability,38017,79,1,4,6,0.002078017729090109,481.22784805972987,0.6666666666666666,721.8417720895949,94,581.892889811987
35556,Strata 2: Low probability,38017,79,19,37,244,0.038761561373212516,25.798754347679186,0.15163934426229508,170.13232596847897,95,137.762529104402
36457,Strata 1: High probability,38017,79,12,50,344,0.02465670591573199,40.55691800103593,0.14534883720930233,279.0315958471272,96,225.551171003981
36713,Strata 2: Low probability,38017,79,6,10,98,0.012404324690853397,80.61704485511993,0.10204081632653061,790.0470395801754,97,637.670612676527
129,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
399,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
576,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
3215,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
5482,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
6012,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
9197,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
10142,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
14341,Strata 1: High probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
14953,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
15218,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
15749,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
23420,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
24393,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
24622,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
29413,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
31708,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
34192,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
34563,Strata 2: Low probability,38017,79,1,0,0,0.002078017729090109,481.22784805972987,NA,NA,NA,NA
