Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
19100,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26603,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
8938,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
11122,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3748,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
7140,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
4914,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20152,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21549,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
27277,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19934,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15914,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21375,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
16320,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
2730,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17920,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
8433,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26301,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
17906,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
13334,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15115,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22654,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
11174,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3254,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20825,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22002,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
18167,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22242,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
20459,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3036,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5283,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3032,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
25768,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
19317,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5697,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
15788,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
5895,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
27052,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
21340,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
13508,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
22148,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
26884,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
30167,Strata 2: Low probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
16799,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
1370,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
3929,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
25358,Strata 1: High probability,30880,25,1,0,0,8.09585492227427e-4,1235.2000000008425,NA,NA,NA,NA
