Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
9044,Strata 1: High probability,9282,99,1,12,38,0.010665804783583144,93.75757575642156,0.3157894736842105,296.8989898953349,57,293.930005055596
9171,Strata 1: High probability,9282,99,1,2,24,0.010665804783583144,93.75757575642156,0.08333333333333333,1125.0909090770588,12,1113.84001915805
9224,Strata 1: High probability,9282,99,4,14,42,0.04199218109573255,23.813957120260774,0.3333333333333333,71.44187136078233,58,70.7389008306633
3087,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
305,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6654,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4564,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
7000,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
5046,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
603,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4559,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2031,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1677,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
5057,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1050,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
7530,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
5747,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
464,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4335,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6318,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4665,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2249,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
7084,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6855,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
3607,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
890,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4718,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6067,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2716,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6533,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6010,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
8608,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1460,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
6285,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4836,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
412,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
3499,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1936,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
4218,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2085,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1940,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2203,Strata 1: High probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
1694,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
2243,Strata 2: Low probability,9282,99,1,0,0,0.010665804783583144,93.75757575642156,NA,NA,NA,NA
