Initial_block_ID,block_category_str,N,n,m,I,B,p1,weight_cluster,p2,weight_msme,Cluster_number,w
861,Strata 2: Low probability,26293,96,1,0,6,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
1269,Strata 1: High probability,26293,96,1,0,8,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
1296,Strata 1: High probability,26293,96,1,4,9,0.0036511619063244183,273.88541665814216,0.4444444444444444,616.24218748082,3,616.242187480821
1707,Strata 1: High probability,26293,96,1,0,4,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
1755,Strata 1: High probability,26293,96,8,44,106,0.028842531659744486,34.671020276479396,0.41509433962264153,83.52563975697309,5,83.5256397569733
2115,Strata 1: High probability,26293,96,1,2,3,0.0036511619063244183,273.88541665814216,0.6666666666666666,410.8281249872133,6,410.828124987214
2387,Strata 1: High probability,26293,96,1,0,9,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
2749,Strata 1: High probability,26293,96,1,0,40,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
3047,Strata 1: High probability,26293,96,1,0,12,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
3357,Strata 1: High probability,26293,96,1,0,72,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
3916,Strata 1: High probability,26293,96,1,0,17,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
4965,Strata 1: High probability,26293,96,1,0,6,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
5299,Strata 1: High probability,26293,96,1,0,7,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
5758,Strata 1: High probability,26293,96,4,39,66,0.014525680408306041,68.84359092935725,0.5909090909090909,116.50453849583533,14,116.504538495836
5791,Strata 1: High probability,26293,96,9,41,88,0.032389464015174285,30.87423736099818,0.4659090909090909,66.2666557992156,15,66.2666557992158
6123,Strata 1: High probability,26293,96,1,0,10,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
6345,Strata 1: High probability,26293,96,8,21,50,0.028842531659744486,34.671020276479396,0.42,82.55004827733191,17,82.5500482773322
6421,Strata 1: High probability,26293,96,1,0,7,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
6463,Strata 1: High probability,26293,96,1,0,1,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
7207,Strata 1: High probability,26293,96,1,0,13,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
7319,Strata 1: High probability,26293,96,1,0,40,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
7552,Strata 1: High probability,26293,96,1,0,5,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
7749,Strata 1: High probability,26293,96,1,0,8,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
7795,Strata 1: High probability,26293,96,1,0,6,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
8289,Strata 1: High probability,26293,96,5,79,104,0.018124354176076496,55.174379748105146,0.7596153846153846,72.63462650383462,23,72.634626503835
8353,Strata 1: High probability,26293,96,1,0,0,0.0036511619063244183,273.88541665814216,NA,NA,NA,NA
8409,Strata 2: Low probability,26293,96,1,0,14,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
8621,Strata 1: High probability,26293,96,1,0,53,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
8625,Strata 1: High probability,26293,96,1,0,56,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
8801,Strata 1: High probability,26293,96,1,0,6,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9140,Strata 2: Low probability,26293,96,1,0,1,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9397,Strata 1: High probability,26293,96,1,0,11,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9408,Strata 1: High probability,26293,96,1,0,11,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9477,Strata 2: Low probability,26293,96,2,26,46,0.007289131191802634,137.19056135587206,0.5652173913043478,242.7217623988506,24,242.721762398851
9565,Strata 1: High probability,26293,96,1,0,5,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9717,Strata 1: High probability,26293,96,7,63,156,0.025282733379463407,39.552685423336285,0.40384615384615385,97.93998295302318,25,97.9399829530232
9751,Strata 2: Low probability,26293,96,1,0,17,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9762,Strata 1: High probability,26293,96,1,0,1,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9919,Strata 1: High probability,26293,96,1,0,1,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
9947,Strata 1: High probability,26293,96,1,0,21,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
10349,Strata 1: High probability,26293,96,1,0,8,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
10414,Strata 1: High probability,26293,96,1,0,1,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
10801,Strata 1: High probability,26293,96,1,0,30,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
11966,Strata 1: High probability,26293,96,1,0,5,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
12115,Strata 1: High probability,26293,96,1,0,11,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
12226,Strata 1: High probability,26293,96,9,36,116,0.032389464015174285,30.87423736099818,0.3103448275862069,99.4836537187719,26,99.4836537187722
12740,Strata 1: High probability,26293,96,1,0,19,0.0036511619063244183,273.88541665814216,0,Inf,NA,NA
13556,Strata 1: High probability,26293,96,5,40,71,0.018124354176076496,55.174379748105146,0.5633802816901409,97.93452405288664,27,97.9345240528872
