Initial_block_ID,Cluster_number,w
1296,3,616.242187480821
1755,5,83.5256397569733
2115,6,410.828124987214
5758,14,116.504538495836
5791,15,66.2666557992158
6345,17,82.5500482773322
8289,23,72.634626503835
9477,24,242.721762398851
9717,25,97.9399829530232
12226,26,99.4836537187722
13556,27,97.9345240528872
14130,28,86.2349388358917
14504,29,76.156452157129
20598,30,112.359787933035
22262,31,68.168201144911
22813,32,94.7554434788251
23300,33,65.4665138041428
24523,34,85.9728763437028
24951,35,165.523139244316
25299,36,71.291420815396
